name,url,team,pos,owner,orank,rank,owned
Bryan Morris,http://sports.yahoo.com/mlb/players/9221,Mia,RP,FA,323,228,3%
Dale Thayer,http://sports.yahoo.com/mlb/players/8486,SD,RP,FA,325,250,2%
Kyle Hendricks,http://sports.yahoo.com/mlb/players/9758,ChC,SP,Dugo's Way,328,220,19%
Carlos Torres,http://sports.yahoo.com/mlb/players/8533,NYM,RP,FA,329,251,2%
Mike Leake,http://sports.yahoo.com/mlb/players/8680,Cin,SP,FA,330,257,14%
Scott Atchison,http://sports.yahoo.com/mlb/players/7391,Cle,RP,FA,331,233,2%
Joakim Soria,http://sports.yahoo.com/mlb/players/7964,Det,RP,FA,332,238,14%
Danny Farquhar,http://sports.yahoo.com/mlb/players/9072,Sea,RP,FA,333,262,5%
Zach Putnam,http://sports.yahoo.com/mlb/players/9083,CWS,RP,FA,334,216,3%
Dan Haren,http://sports.yahoo.com/mlb/players/7172,Mia,SP,FA,335,217,9%
David Carpenter,http://sports.yahoo.com/mlb/players/8978,NYY,RP,FA,336,306,3%
Jared Hughes,http://sports.yahoo.com/mlb/players/9073,Pit,RP,FA,337,226,2%
Neil Ramirez,http://sports.yahoo.com/mlb/players/9682,ChC,RP,FA,338,246,4%
Josh Beckett,http://sports.yahoo.com/mlb/players/6403,LAD,SP,FA,339,210,2%
Pedro Strop,http://sports.yahoo.com/mlb/players/8565,ChC,RP,FA,340,258,4%
Edinson Volquez,http://sports.yahoo.com/mlb/players/7639,KC,SP,Daddy W,341,154,16%
Miguel Gonzalez,http://sports.yahoo.com/mlb/players/8437,Bal,SP,Rain On 'Em,342,265,5%
Tony Sipp,http://sports.yahoo.com/mlb/players/7949,Hou,RP,FA,343,244,2%
Chad Qualls,http://sports.yahoo.com/mlb/players/7381,Hou,RP,FA,344,288,15%
Aaron Sanchez,http://sports.yahoo.com/mlb/players/9635,Tor,RP,Dugo's Way,345,260,44%
J.P. Howell,http://sports.yahoo.com/mlb/players/7572,LAD,RP,FA,347,326,5%
Jorge De La Rosa,http://sports.yahoo.com/mlb/players/7281,Col,SP,Daddy W,348,267,8%
Aaron Loup,http://sports.yahoo.com/mlb/players/9236,Tor,RP,A-Rods Dope Supplier,349,308,2%
Kevin Quackenbush,http://sports.yahoo.com/mlb/players/9683,SD,RP,FA,350,261,11%
Jeurys Familia,http://sports.yahoo.com/mlb/players/9299,NYM,RP,FA,351,255,6%
Adam Warren,http://sports.yahoo.com/mlb/players/9224,NYY,RP,FA,353,271,3%
Zach Duke,http://sports.yahoo.com/mlb/players/7512,CWS,RP,FA,354,241,2%
