fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
5556,Jair Jurrjens,pit,Jurrjens,Jair,2527,Jurrjens,Jair,8091,Jurrjens,Jair,,SP,,457453
5557,Jarrod Saltalamacchia,bat,Saltalamacchia,Jarrod,4391,Saltalamacchia,Jarrod,7939,Saltalamacchia,Jarrod,BOS,C,SALTALAMA19850502A,457454
5559,Jo-Jo Reyes,pit,Reyes,Jo-Jo,,,,,,,,,,457456
5564,Sean White,pit,White,Sean,,,,,,,,,,457461
5570,Josh Banks,pit,Banks,Josh,,,,,,,,,,
5576,Evan MacLane,pit,MacLane,Evan,,,,,,,,,,449774
5579,Mitch Stetter,pit,Stetter,Mitch,,,,,,,,,,449777
5587,Carlos Corporan,bat,Corporan,Carlos,5780,Corporan,Carlos,8462,Corporan,Carlos,HOU,C,CORPORAN19840107A,449786
5588,Mitch Maier,bat,Maier,Mitch,,,,7899,,,,CF,,430574
5615,Ryan Brasier,pit,Brasier,Ryan,6345,Brasier,Ryan,9388,Brasier,Ryan,,RP,,518489
5618,Leo Rosales,pit,Rosales,Leo,,,,,,,,,,449820
5631,Matt Kemp,bat,Kemp,Matt,2560,Kemp,Matt,7780,Kemp,Matt,LAD,OF,KEMP19840923A,461314
5633,Lucas May,bat,May,Lucas,,,,,,,,,,461315
5640,Tyler Clippard,pit,Clippard,Tyler,951,Clippard,Tyler,7970,Clippard,Tyler,WAS,RP,CLIPPARD19850214A,461325
5653,Ryan Roberts,bat,Roberts,Ryan,4219,Roberts,Ryan,7826,Roberts,Ryan,TB,3B,,440251
5663,Neftali Soto,bat,Soto,Neftali,6569,Soto,Neftali,9399,Soto,Neftali,,1B,SOTO19890228A,519304
5665,Yamaico Navarro,bat,Navarro,Yamaico,6211,Navarro,Yamaico,8791,Navarro,Yamaico,BAL,2B/3B,,501605
