"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Adam Everett","Astros","28","110","171","171","44","38","6","0","0","0","12","0","0","5","0","0","171","0","0","0","18","0","0","176","392","568","63.2 %","29.2 %","7.6 %","22.8 %","58.5 %","18.7 %","1430"
"Troy Glaus","Diamondbacks","28","102","146","146","38","34","4","0","0","0","13","0","0","7","0","0","146","0","0","0","6","0","0","164","321","485","67.8 %","25.3 %","6.9 %","12.3 %","63.0 %","24.7 %","15"
"Richard Hidalgo","Rangers","30","54","76","76","19","15","4","0","0","0","3","0","0","8","0","0","76","0","0","0","4","0","0","93","176","269","72.4 %","22.4 %","5.3 %","17.1 %","55.3 %","27.6 %","561"
"Miguel Cabrera","Marlins","22","122","189","189","50","47","3","0","0","0","29","0","0","20","0","0","189","0","0","0","11","0","0","211","406","617","59.8 %","23.8 %","16.4 %","10.6 %","61.9 %","27.5 %","1744"
"Aramis Ramirez","Cubs","27","93","156","156","41","38","3","0","0","0","13","0","0","15","0","0","156","0","0","0","10","0","0","140","320","460","62.8 %","24.4 %","12.8 %","12.8 %","60.9 %","26.3 %","1002"
"Jason Lane","Astros","28","85","123","123","32","29","3","0","0","0","10","0","0","10","0","0","123","0","0","0","4","0","0","113","268","381","65.9 %","22.8 %","11.4 %","9.8 %","65.9 %","24.4 %","1397"
"Mike Redmond","Twins","34","39","72","72","19","18","1","0","0","0","9","0","0","9","0","0","72","0","0","0","1","0","0","76","172","248","27.8 %","38.9 %","33.3 %","5.6 %","83.3 %","11.1 %","538"
"Todd Helton","Rockies","31","94","142","142","37","34","3","0","0","0","12","0","0","14","0","0","142","0","0","0","5","0","0","163","345","508","56.3 %","31.0 %","12.7 %","8.5 %","62.0 %","29.6 %","432"
"David Ross","- - -","28","24","35","35","9","8","1","0","0","0","5","0","0","2","0","0","35","0","0","0","4","0","0","38","88","126","77.1 %","14.3 %","8.6 %","17.1 %","62.9 %","20.0 %","1551"
"Dave Roberts","Padres","33","92","167","167","42","36","5","1","0","0","9","0","0","9","0","0","167","0","0","0","6","0","0","205","394","599","60.5 %","27.5 %","12.0 %","22.2 %","55.7 %","22.2 %","670"
