"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Jim Johnson","Braves","2","3","3.64","0","55","1","55.0","53","22","4","47","21","1.34","7.67","3.36","3.56","0.1","0.0","3656"
"Jordan Conley","Marlins","0","0","3.57","0","1","0","1.0","1","0","0","1","0","1.28","8.31","3.36","3.56","0.0","0.1","sa504810"
"Joakim Soria","Tigers","3","3","3.42","0","65","10","65.0","59","25","6","60","20","1.21","8.26","2.70","3.56","0.6","0.5","6941"
"Troy Patton","Padres","0","0","3.56","0","1","0","1.0","1","0","0","1","0","1.27","8.05","3.03","3.57","0.0","0.1","8368"
"Reid Redman","Marlins","0","0","3.58","0","1","0","1.0","1","0","0","1","0","1.27","8.06","3.12","3.57","0.0","0.1","sa602392"
"Paul Sewald","Mets","0","0","3.59","0","1","0","1.0","1","0","0","1","0","1.26","8.77","3.24","3.57","0.0","0.1","sa658150"
"Michael Wacha","Cardinals","10","8","3.54","26","26","0","148.0","134","58","14","135","44","1.21","8.21","2.71","3.57","1.7","1.8","14078"
"Josh Johnson","Padres","3","4","3.85","10","10","0","55.0","53","24","5","49","17","1.26","8.02","2.74","3.58","0.6","0.3","4567"
"Greg Gonzalez","Padres","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.30","9.01","3.70","3.58","0.0","0.1","sa598339"
"Tucker Healy","Athletics","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.27","8.92","3.60","3.58","0.0","0.1","sa621510"
"Jonathan Ortiz"," ","0","0","3.55","0","1","0","1.0","1","0","0","1","0","1.24","8.54","3.04","3.58","0.0","0.1","sa381976"
"Zac Rosscup","Cubs","1","0","3.50","0","10","0","10.0","8","4","1","12","5","1.31","10.61","4.66","3.58","0.1","0.1","9419"
"Dean Kiekhefer","Cardinals","0","0","3.40","0","1","0","1.0","1","0","0","1","0","1.21","7.11","2.24","3.59","0.0","0.1","sa526393"
"Manny Parra","Reds","3","3","3.43","0","55","1","55.0","47","21","5","56","22","1.25","9.18","3.56","3.59","0.2","0.3","4279"
"Erik Davis","Nationals","1","0","3.55","0","10","0","10.0","9","4","1","9","3","1.27","8.13","3.06","3.59","0.0","0.1","8422"
"Austin Adams","Indians","1","1","3.65","0","20","0","20.0","18","8","2","20","7","1.28","8.84","3.34","3.59","0.1","0.0","7411"
"Jose Dominguez","Rays","0","0","3.58","0","10","0","10.0","8","4","1","11","5","1.29","9.91","4.25","3.59","0.0","0.1","11571"
"Cam Bedrosian","Angels","2","2","3.58","0","35","0","35.0","29","14","3","38","16","1.30","9.65","4.20","3.59","0.2","0.1","13360"
"Blaine Boyer","Padres","0","0","3.67","0","1","0","1.0","1","0","0","1","0","1.24","7.96","2.65","3.60","0.0","0.1","2237"
"Addison Reed","Diamondbacks","3","3","3.42","0","65","32","65.0","57","25","7","66","20","1.17","9.08","2.72","3.60","0.3","0.4","10586"
"Kyle Crockett","Indians","2","1","3.56","0","30","0","30.0","28","12","3","27","10","1.27","8.14","3.08","3.60","0.2","0.1","15033"
"Jeremy Mcbryde","Angels","1","0","3.58","0","10","0","10.0","9","4","1","9","4","1.26","8.51","3.26","3.60","0.0","0.1","sa328275"
"Josh Osich","Giants","0","0","3.50","0","1","0","1.0","1","0","0","1","0","1.31","8.78","3.99","3.60","0.0","0.1","sa548427"
"Richard Mirowski","Nationals","0","0","3.57","0","1","0","1.0","1","0","0","1","0","1.27","8.35","3.16","3.60","0.0","0.1","sa598781"
"Jon Velasquez","Mets","0","0","3.60","0","1","0","1.0","1","0","0","1","0","1.26","8.44","3.06","3.60","0.0","0.1","sa496300"
"Kyle McPherson","Pirates","0","0","3.67","0","1","0","1.0","1","0","0","1","0","1.24","7.68","2.56","3.60","0.0","0.1","5009"
"Juan Nicasio","Dodgers","2","2","3.43","0","45","1","45.0","42","17","5","40","12","1.20","7.95","2.49","3.60","0.0","0.1","7731"
"Brett Anderson","Dodgers","5","5","3.58","15","15","0","82.0","79","33","6","65","27","1.29","7.15","2.92","3.60","0.8","0.8","8223"
"Edwin Escobar","Red Sox","1","0","3.48","0","10","0","10.0","9","4","1","9","3","1.22","7.97","2.48","3.60","0.1","0.1","10337"
"Patrick Lehman","Nationals","0","0","3.59","0","1","0","1.0","1","0","0","1","0","1.27","8.40","3.24","3.60","0.0","0.1","sa501681"
"Nick Wittgren","Marlins","0","0","3.60","0","1","0","1.0","1","0","0","1","0","1.26","7.64","2.84","3.60","0.0","0.1","sa621793"
"Ryan Kelly","Braves","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.29","8.64","3.41","3.61","0.0","0.1","sa328265"
"Tony Sipp","Astros","3","3","3.31","0","55","1","55.0","45","20","6","62","21","1.21","10.21","3.46","3.61","0.4","0.5","8280"
"Casey Fien","Twins","3","3","3.44","0","65","2","65.0","61","25","7","60","17","1.19","8.33","2.34","3.61","0.5","0.5","3926"
"Tanner Roark","Nationals","5","5","3.49","6","61","0","94.0","92","36","10","75","19","1.19","7.15","1.84","3.61","0.7","0.6","8753"
"Randy Choate","Cardinals","3","3","3.43","0","65","3","65.0","61","25","4","53","24","1.30","7.38","3.27","3.61","0.2","0.1","813"
"Zach McAllister","Indians","5","4","3.68","6","51","1","81.0","77","33","9","74","22","1.22","8.20","2.40","3.61","0.7","0.5","2895"
"Jacob deGrom","Mets","9","10","3.77","28","28","0","164.0","154","68","16","147","49","1.24","8.11","2.71","3.61","1.5","1.2","10954"
"Jose Mijares","Giants","0","0","3.42","0","1","0","1.0","1","0","0","1","0","1.25","8.32","3.28","3.61","0.0","0.1","4140"
"Andrew Bailey","Red Sox","0","0","3.46","0","1","0","1.0","1","0","0","1","0","1.24","9.14","3.31","3.61","0.0","0.1","1368"
"Sonny Gray","Athletics","12","11","3.67","32","32","0","206.0","196","84","16","171","70","1.30","7.48","3.08","3.62","2.7","2.5","12768"
"Joel Hanrahan","Red Sox","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.28","9.53","3.78","3.62","0.0","0.1","2186"
"Lisalverto Bonilla","Rangers","1","1","3.64","0","15","0","15.0","13","6","1","16","6","1.28","9.42","3.67","3.62","0.2","0.1","11266"
"Joseph Donofrio","Cardinals","0","0","3.52","0","10","0","10.0","9","4","1","9","4","1.27","8.55","3.50","3.62","0.0","0.1","sa658836"
"Mike Morin","Angels","2","2","3.58","0","45","0","45.0","41","18","4","40","14","1.24","8.08","2.90","3.62","0.1","0.1","13442"
"Lester Oliveros","Twins","0","0","3.73","0","10","0","10.0","9","4","1","10","4","1.30","9.21","3.71","3.63","0.1","0.1","9167"
"James Leverton","Marlins","0","0","3.56","0","1","0","1.0","1","0","0","1","0","1.29","8.15","3.39","3.63","0.0","0.1","sa454983"
"Clayton Blackburn","Giants","0","0","3.65","0","0","0","1.0","1","0","0","1","0","1.22","7.46","2.47","3.63","0.0","0.0","sa598302"
"Mike Fiers","Brewers","11","10","3.52","29","29","0","169.0","152","66","21","171","43","1.16","9.12","2.32","3.63","2.5","2.6","7754"
"Burch Smith","Rays","0","0","3.46","0","10","0","10.0","9","4","1","10","3","1.20","8.73","2.87","3.63","0.0","0.1","12784"
"Greg Nappo","Marlins","0","0","3.56","0","1","0","1.0","1","0","0","1","0","1.28","7.75","3.06","3.63","0.0","0.1","sa599112"
"Pat Egan","Braves","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.26","8.00","2.85","3.63","0.0","0.1","sa386802"
"Tommy Hunter","Orioles","3","3","3.41","0","55","1","55.0","52","21","6","48","13","1.17","7.79","2.06","3.63","0.3","0.4","1157"
"Fautino De Los Santos","Athletics","0","0","3.60","0","1","0","1.0","1","0","0","1","0","1.27","8.52","3.37","3.63","0.0","0.1","5841"
"Andrew Cashner","Padres","9","11","3.87","28","28","0","165.0","164","71","15","133","45","1.27","7.24","2.45","3.63","1.3","0.8","8782"
"Josh Outman","Braves","1","1","3.67","0","25","0","25.0","23","10","2","23","10","1.31","8.40","3.62","3.64","0.0","0.0","4004"
"Zack Wheeler","Mets","0","0","3.80","0","0","0","1.0","1","0","0","1","0","1.29","8.79","3.59","3.64","0.0","0.0","10310"
"Sam Freeman","Cardinals","2","2","3.52","0","40","0","40.0","36","16","3","37","16","1.29","8.27","3.65","3.65","0.0","0.1","6832"
"Kevin Quackenbush","Padres","2","2","3.72","0","45","0","45.0","40","19","4","44","18","1.29","8.90","3.54","3.65","-0.1","-0.1","12360"
"Sergio Santos","Blue Jays","0","0","3.79","0","1","0","1.0","1","0","0","1","0","1.29","9.55","3.83","3.65","0.0","0.1","4734"
"Tom Wilhelmsen","Mariners","3","3","3.76","0","65","1","65.0","57","27","6","63","27","1.30","8.68","3.74","3.65","0.2","0.0","9975"
"Chasen Bradford","Mets","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.24","7.73","2.58","3.65","0.0","0.1","sa599551"
"Ernesto Frieri","Rays","2","2","3.30","0","40","2","40.0","32","15","4","44","15","1.19","9.94","3.46","3.65","0.2","0.3","5178"
"Marc Rzepczynski","Indians","3","3","3.78","0","55","1","55.0","52","23","4","48","21","1.33","7.91","3.45","3.65","0.1","0.1","6612"
"Brad Ziegler","Diamondbacks","3","3","3.39","0","65","3","65.0","65","24","4","47","22","1.34","6.44","3.10","3.66","0.2","0.3","7293"
"Mariano Llorens","Cardinals","0","0","3.68","0","1","0","1.0","1","0","0","1","1","1.35","10.04","4.96","3.66","0.0","0.1","sa658625"
"Jonathan Papelbon","Phillies","3","3","3.58","0","65","31","65.0","60","26","7","61","18","1.20","8.39","2.49","3.66","0.2","0.2","5975"
"Juan Perez","Blue Jays","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.31","9.22","3.86","3.66","0.0","0.1","2557"
"Doug Fister","Nationals","12","10","3.69","31","31","0","189.0","197","77","17","131","37","1.24","6.24","1.78","3.66","2.2","2.0","9425"
"Derek Eitel","Diamondbacks","0","0","3.58","0","1","0","1.0","1","0","0","1","0","1.27","8.67","3.37","3.66","0.0","0.1","sa549271"
"Chad Qualls","Astros","3","3","3.80","0","55","8","55.0","56","23","5","43","15","1.28","7.10","2.41","3.66","0.2","0.2","2170"
"Daryl Maday","Giants","0","0","3.63","0","1","0","1.0","1","0","0","1","0","1.26","7.63","2.97","3.66","0.0","0.1","sa327891"
"Matt Belisle","Cardinals","2","2","3.61","0","35","0","35.0","34","14","3","27","10","1.27","6.86","2.55","3.66","0.0","0.1","1837"
"Sam Demel","Diamondbacks","0","0","3.59","0","1","0","1.0","1","0","0","1","0","1.26","8.58","3.30","3.67","0.0","0.1","868"
"David Rollins","Mariners","2","1","3.50","0","30","0","30.0","27","12","3","27","10","1.24","8.07","2.88","3.67","0.1","0.1","sa455425"
"Fernando Nieve","Dodgers","0","0","3.54","0","1","0","1.0","1","0","0","1","0","1.24","8.27","3.02","3.67","0.0","0.1","2173"
"Matt Andriese","Rays","0","0","3.57","0","10","0","10.0","10","4","1","8","3","1.21","7.41","2.27","3.67","0.0","0.1","sa577754"
"Yohan Pino","Royals","1","0","3.36","0","10","0","10.0","9","4","1","9","2","1.15","7.82","2.02","3.67","0.1","0.1","6955"
"Tyler Webb","Yankees","0","0","3.44","0","1","0","1.0","1","0","0","1","0","1.24","9.19","3.51","3.67","0.0","0.1","sa602910"
"Darren O'Day","Orioles","3","3","3.38","0","65","2","65.0","57","24","7","64","19","1.17","8.80","2.67","3.67","0.4","0.5","3321"
"Seth Simmons","Diamondbacks","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.30","9.27","4.02","3.67","0.0","0.1","sa598797"
"Mike Adams","Phillies","0","0","3.67","0","1","0","1.0","1","0","0","1","0","1.27","8.25","3.17","3.67","0.0","0.1","1937"
"Charles Brewer","Indians","0","0","3.67","0","10","0","10.0","10","4","1","8","2","1.21","7.45","2.07","3.67","0.0","0.1","9155"
"Scott Atchison","Indians","3","3","3.75","0","55","2","55.0","56","23","5","41","14","1.29","6.72","2.35","3.68","0.1","0.1","2642"
"Arquimedes Caminero","Marlins","1","1","3.64","0","15","0","15.0","13","6","1","15","6","1.29","9.00","3.80","3.68","0.1","0.0","8992"
"Scott Kazmir","Athletics","12","10","3.67","31","31","0","183.0","172","74","19","158","51","1.22","7.77","2.51","3.68","2.4","2.4","4897"
"Rob Wort","Diamondbacks","0","0","3.66","0","1","0","1.0","1","0","0","1","0","1.31","9.41","4.15","3.68","0.0","0.1","sa502647"
"Cody Satterwhite","Mets","0","0","3.71","0","1","0","1.0","1","0","0","1","0","1.30","8.92","3.74","3.68","0.0","0.1","sa454441"
"Carson Smith","Mariners","2","2","3.64","0","35","0","35.0","31","14","3","33","13","1.28","8.44","3.41","3.68","0.1","0.1","13172"
"Vinnie Pestano","Angels","3","3","3.52","0","55","1","55.0","48","21","5","54","20","1.24","8.81","3.32","3.68","0.2","0.2","4782"
"Carlos Villanueva","Cubs","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.22","8.14","2.54","3.68","0.0","0.1","4138"
"Aaron Loup","Blue Jays","3","3","3.55","0","65","3","65.0","61","26","5","57","23","1.30","7.84","3.17","3.68","0.5","0.4","10343"
"Clayton Tanner","Giants","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.28","7.98","3.37","3.69","0.0","0.1","sa326678"
"Timothy Peterson","Mets","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.29","8.61","3.43","3.69","0.0","0.1","sa658510"
"T.J. McFarland","Orioles","2","2","3.49","0","35","0","35.0","34","14","3","26","10","1.28","6.81","2.69","3.69","0.1","0.2","3237"
"Bryan Price","Indians","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.25","8.54","2.97","3.69","0.0","0.1","8436"
"Ryan Dull","Athletics","0","0","3.61","0","1","0","1.0","1","0","0","1","0","1.26","8.07","3.11","3.69","0.0","0.1","sa658902"
"A.J. Burnett","Pirates","10","11","4.04","29","29","0","182.0","176","82","14","156","66","1.33","7.69","3.28","3.69","1.6","0.8","512"
"Jason Frasor","Royals","2","2","3.59","0","45","0","45.0","40","18","4","41","17","1.27","8.25","3.38","3.69","0.2","0.2","1906"
"Arodys Vizcaino","Cubs","0","0","3.69","0","1","0","1.0","1","0","0","1","0","1.31","9.07","3.91","3.69","0.0","0.1","5498"
"Jarrett Grube","Angels","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.22","7.37","2.28","3.69","0.0","0.1","7553"
"J.J. Putz","Diamondbacks","0","0","3.57","0","1","0","1.0","1","0","0","1","0","1.27","8.21","3.21","3.69","0.0","0.1","1795"
"Matt Barnes","Red Sox","1","1","3.66","0","25","0","25.0","23","10","3","23","8","1.25","8.16","2.87","3.69","0.2","0.2","12863"
"Dale Thayer","Padres","2","2","3.77","0","35","0","35.0","33","15","4","32","11","1.25","8.19","2.76","3.69","0.0","-0.1","5032"
"Lance Lynn","Cardinals","12","10","3.63","31","31","0","188.0","171","76","18","170","64","1.25","8.13","3.06","3.70","2.0","2.0","2520"
"Spencer Patton","Rangers","0","0","3.76","0","10","0","10.0","9","4","1","10","4","1.29","8.95","3.53","3.70","0.1","0.0","12361"
"Tyler Skaggs","Angels","0","0","3.68","0","0","0","1.0","1","0","0","1","0","1.26","7.99","2.98","3.70","0.0","0.0","10190"
"Alan Oaks","Padres","0","0","3.78","0","1","0","1.0","1","0","0","1","0","1.32","8.64","3.67","3.70","0.0","0.1","sa547531"
"Taylor Jordan","Nationals","1","1","3.71","2","12","0","19.0","19","8","2","14","5","1.26","6.64","2.17","3.70","0.2","0.1","10466"
"Dallas Keuchel","Astros","12","12","3.76","32","32","0","206.0","210","86","17","152","60","1.31","6.67","2.61","3.70","2.7","2.5","9434"
"Mike Zagurski","Yankees","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.28","9.75","4.06","3.70","0.0","0.1","9683"
"Brandon Morrow","Padres","5","5","3.89","13","23","0","82.0","78","36","8","75","28","1.28","8.23","3.02","3.70","0.5","0.3","9346"
"Robbie Ross","Red Sox","2","1","3.65","0","30","0","30.0","30","12","2","23","9","1.30","7.04","2.78","3.70","0.2","0.2","6819"
"Fernando Abad","Athletics","2","2","3.35","0","40","0","40.0","36","15","4","36","13","1.22","8.02","2.89","3.70","0.2","0.3","4994"
"Phil Hughes","Twins","12","11","3.80","32","32","0","194.0","195","82","24","161","34","1.18","7.47","1.58","3.70","3.0","2.6","7450"
"J.P. Howell","Dodgers","3","3","3.51","0","65","2","65.0","58","25","5","59","27","1.31","8.14","3.73","3.70","-0.1","0.0","8245"
"Yunesky Maya","Nationals","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.21","6.65","1.77","3.70","0.0","0.1","11420"
"David Carpenter","Yankees","3","3","3.49","0","55","0","55.0","48","21","6","55","17","1.19","8.99","2.86","3.70","0.3","0.4","3959"
"Joe Bisenius","Nationals","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.27","7.60","2.78","3.70","0.0","0.1","7370"
"Adam Reifer","Giants","0","0","3.71","0","1","0","1.0","1","0","0","1","0","1.34","8.85","4.31","3.71","0.0","0.1","sa389398"
"Brian Moran","Mariners","0","0","3.56","0","1","0","1.0","1","0","0","1","0","1.26","8.32","3.25","3.71","0.0","0.1","sa501495"
"Michael Tonkin","Twins","3","3","3.87","0","55","1","55.0","53","24","5","49","19","1.30","8.05","3.05","3.71","0.2","0.1","10315"
"Zach Phillips","Marlins","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.32","8.24","3.76","3.71","0.0","0.1","99"
"Joseph O'Gara","Marlins","0","0","3.71","0","1","0","1.0","1","0","0","1","0","1.29","7.56","3.06","3.71","0.0","0.1","sa502727"
"Sam Dyson","Marlins","2","2","3.80","0","35","0","35.0","35","15","2","27","12","1.34","6.85","3.10","3.72","0.0","0.0","11710"
"Marcos Mateo","Cubs","0","0","3.73","0","1","0","1.0","1","0","0","1","0","1.31","8.69","3.64","3.72","0.0","0.1","6869"
"Tim Hudson","Giants","10","11","3.80","29","29","0","179.0","188","76","15","116","41","1.28","5.82","2.08","3.72","1.2","0.8","921"
"Kurt Yacko","Pirates","0","0","3.73","0","1","0","1.0","1","0","0","1","0","1.30","7.85","3.29","3.72","0.0","0.1","sa454989"
"Mark Hardy","Padres","0","0","3.80","0","0","0","1.0","1","0","0","1","0","1.28","7.79","2.90","3.72","0.0","0.0","sa550182"
"Evan Reed","Tigers","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.30","7.78","3.20","3.72","0.0","0.1","1349"
"Jeff Samardzija","White Sox","12","12","3.91","32","32","0","204.0","194","89","23","189","58","1.23","8.37","2.55","3.72","3.2","2.6","3254"
"Homer Bailey","Reds","10","10","3.65","28","28","0","167.0","155","68","19","151","46","1.20","8.11","2.47","3.72","1.9","2.0","8362"
"Cory Mazzoni","Mets","0","0","3.81","0","0","0","1.0","1","0","0","1","0","1.25","7.90","2.62","3.72","0.0","0.0","sa455498"
"Omar Javier","Giants","0","0","3.72","0","1","0","1.0","1","0","0","1","0","1.31","8.08","3.59","3.72","0.0","0.1","sa393069"
"Mike O'Connor","Mets","0","0","3.64","0","1","0","1.0","1","0","0","1","0","1.27","7.80","2.91","3.72","0.0","0.1","6457"
"Yhency Brazoban","Diamondbacks","0","0","3.62","0","1","0","1.0","1","0","0","1","0","1.26","8.08","2.99","3.72","0.0","0.1","2150"
"Ian Kennedy","Padres","11","12","3.79","32","32","0","194.0","177","82","21","189","64","1.24","8.74","2.95","3.72","1.5","1.3","6986"
"Wilmin Rodriguez","Giants","0","0","3.65","0","1","0","1.0","1","0","0","1","0","1.30","7.84","3.43","3.73","0.0","0.1","sa329097"
"Rob Scahill","Pirates","1","1","3.77","0","25","0","25.0","24","10","2","21","8","1.29","7.47","2.97","3.73","0.0","0.0","9286"
"Preston Guilmet","Blue Jays","1","0","3.76","0","10","0","10.0","9","4","1","9","3","1.25","8.24","2.72","3.73","0.0","0.0","7303"
"Dan Otero","Athletics","3","3","3.61","0","55","2","55.0","58","22","4","34","13","1.30","5.61","2.14","3.73","0.1","0.2","7385"
"Burke Badenhop","Reds","2","2","3.42","0","35","0","35.0","35","13","3","25","10","1.28","6.51","2.49","3.73","0.0","0.1","9736"
